"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"gamlss.data","gamlss.data","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","5.0-1",NA,"R (>= 2.10)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","3.5.0"
"gamlss.dist","gamlss.dist","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","5.0-6",NA,"R (>= 2.15.0), MASS, graphics, stats, methods",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.5.0"
"gamm4","gamm4","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.2-5",NA,"R (>= 2.9.0), methods, Matrix, lme4 (>= 0.999375-31), mgcv (>=
1.7-23)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"gapminder","gapminder","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.3.0",NA,"R (>= 3.1.0)","tibble",NA,"dplyr, ggplot2, testthat",NA,"CC0",NA,NA,NA,NA,"no","3.5.0"
"gbm","gbm","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.1.3",NA,"R (>= 2.9.0), survival, lattice, splines, parallel",NA,NA,"RUnit",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"gclus","gclus","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.3.1",NA,"R (>= 2.10), cluster",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"3.5.0"
"gcookbook","gcookbook","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0",NA,"R (>= 2.10)",NA,NA,"ggplot2, plyr, MASS",NA,"GPL-2",NA,NA,NA,NA,NA,"3.5.0"
"gdata","gdata","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.18.0",NA,"R (>= 2.3.0)","gtools, stats, methods, utils",NA,"RUnit",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
"gdtools","gdtools","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.1.7",NA,NA,"Rcpp (>= 0.12.12), withr","Rcpp","htmltools, testthat, fontquiver (>= 0.2.0), curl",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"geepack","geepack","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.2-1",NA,NA,NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.5.0"
"gender","gender","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.5.2",NA,"R (>= 3.0.0), utils, stats","dplyr (>= 0.4.2), httr (>= 1.0.0), jsonlite (>= 0.9.16)",NA,"genderdata (>= 0.5.0), ggplot2 (>= 1.0.0), knitr (>= 1.11),
testthat (>= 0.10.0), rmarkdown (>= 0.9.0), covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"GeneralizedHyperbolic","GeneralizedHyperbolic","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.8-4",NA,"R (>= 3.0.1)","DistributionUtils, MASS",NA,"VarianceGamma, actuar, SkewHyperbolic, RUnit",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"geometry","geometry","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.3-6",NA,"R (>= 2.5.0), magic",NA,NA,"testthat, rgl, R.matlab, tripack",NA,"GPL (>= 3) + file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"geosphere","geosphere","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.5-7",NA,"R (>= 3.0.0)","sp",NA,"methods, raster",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.5.0"
"GERGM","GERGM","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.13.0",NA,"R (>= 3.2.0)","Rcpp, ggplot2, methods, stringr, igraph, plyr, parallel, coda,
vegan, scales, RcppParallel, slackr, matrixcalc","BH, Rcpp, RcppArmadillo, RcppParallel","testthat, knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.0"
"getPass","getPass","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.2-2",NA,"R (>= 3.0.0)","utils, rstudioapi (>= 0.5)",NA,"argon2",NA,"BSD 2-clause License + file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"GGally","GGally","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.4.0",NA,"R (>= 3.1), ggplot2 (> 2.2.0)","grDevices, grid, gtable (>= 0.2.0), plyr (>= 1.8.3), progress,
RColorBrewer, reshape (>= 0.8.5), utils, rlang",NA,"broom (>= 0.4.0), chemometrics, geosphere (>= 1.5-1), igraph
(>= 1.0.1), intergraph (>= 2.0-2), maps (>= 3.1.0), mapproj,
network (>= 1.12.0), scagnostics, scales (>= 0.4.0), sna (>=
2.3-2), survival, packagedocs (>= 0.4.0), rmarkdown, roxygen2,
testthat, crosstalk",NA,"GPL (>= 2.0)",NA,NA,NA,NA,"no","3.5.0"
"ggalt","ggalt","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.4.0",NA,"R (>= 3.2.0), ggplot2 (>= 2.2.1)","utils, graphics, grDevices, dplyr, RColorBrewer, KernSmooth,
proj4, scales, grid, gtable, ash, maps, MASS, extrafont,
tibble, plotly (>= 3.4.1)",NA,"testthat, gridExtra, knitr, rmarkdown, ggthemes, reshape2",NA,"AGPL + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"ggExtra","ggExtra","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.8",NA,"R (>= 3.1.0)","colourpicker (>= 1.0), ggplot2 (>= 2.2.0), grDevices, grid (>=
3.1.3), gtable (>= 0.2.0), miniUI (>= 0.1.1), scales (>=
0.2.0), shiny (>= 0.13.0), shinyjs (>= 0.5.2), utils",NA,"knitr (>= 1.7), rmarkdown, rstudioapi (>= 0.5), testthat,
vdiffr, fontquiver, svglite, withr, devtools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"ggforce","ggforce","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.1.3",NA,"ggplot2 (>= 2.2.0), R (>= 3.3.0)","Rcpp (>= 0.12.2), grid, dplyr, scales, MASS, tweenr (>=
0.1.5), units (>= 0.4), gtable, lazyeval","Rcpp","knitr, rmarkdown, devtools",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"ggfortify","ggfortify","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.4.5",NA,"methods, ggplot2 (>= 2.0.0)","dplyr (>= 0.3), tidyr, gridExtra, grid, scales, stringr,
tibble",NA,"testthat, cluster, changepoint, dlm, fGarch, forecast,
ggrepel, glmnet, grDevices, KFAS, knitr, lintr, mapdata, MASS,
MSwM, nlme, raster, ROCR, sp, stats, strucchange, survival,
timeSeries, tseries, utils, vars, xts, zoo, lfda",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
"ggnetwork","ggnetwork","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.5.1",NA,"ggplot2 (>= 2.0.0), R (>= 3.1),","ggrepel (>= 0.5), network, sna",NA,"intergraph, knitr, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.0"
"ggplot2","ggplot2","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","3.1.0",NA,"R (>= 3.1)","digest, grid, gtable (>= 0.1.1), lazyeval, MASS, mgcv, plyr
(>= 1.7.1), reshape2, rlang (>= 0.2.1), scales (>= 0.5.0),
stats, tibble, viridisLite, withr (>= 2.0.0)",NA,"covr, dplyr, ggplot2movies, hexbin, Hmisc, lattice, mapproj,
maps, maptools, multcomp, munsell, nlme, testthat (>= 0.11.0),
vdiffr, quantreg, knitr, rgeos, rpart, rmarkdown, sf (>=
0.3-4), svglite (>= 1.2.0.9001)","sp","GPL-2 | file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"ggplot2movies","ggplot2movies","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.0.1",NA,"R (>= 2.10.0)",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.5.0"
"ggpubr","ggpubr","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.2",NA,"R (>= 3.1.0), ggplot2, magrittr","ggrepel, grid, ggsci, stats, utils, tidyr, purrr, dplyr(>=
0.7.1), cowplot, ggsignif, scales, gridExtra, glue, polynom",NA,"grDevices, knitr, RColorBrewer, gtable",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
"ggraph","ggraph","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0.2",NA,"R (>= 2.10), ggplot2 (>= 2.0.0)","Rcpp (>= 0.12.2), dplyr, plyr, ggforce, grid, igraph (>=
1.0.0), scales, MASS, digest, gtable, ggrepel, utils, stats,
viridis","Rcpp","network, knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"yes","3.5.0"
"ggrepel","ggrepel","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.8.0",NA,"R (>= 3.0.0), ggplot2 (>= 2.2.0)","grid, Rcpp, scales (>= 0.3.0)","Rcpp","knitr, rmarkdown, testthat, gridExtra, devtools, prettydoc",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"ggridges","ggridges","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.5.0",NA,"R (>= 3.2)","ggplot2 (>= 2.2.0), grid (>= 3.0.0), plyr (>= 1.8.0), scales
(>= 0.4.1), withr (>= 2.1.1)",NA,"covr, dplyr, gridExtra, ggplot2movies, DAAG, forcats, knitr,
rmarkdown, testthat, vdiffr, viridis",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"ggsci","ggsci","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.9",NA,"R (>= 3.0.2)","grDevices, scales, ggplot2 (>= 2.0.0)",NA,"knitr, rmarkdown, gridExtra, reshape2",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"ggsignif","ggsignif","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.4.0",NA,NA,"ggplot2 (>= 2.0.0)",NA,"testthat, knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.0"
"ggthemes","ggthemes","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","4.0.0",NA,"R (>= 3.0.0)","ggplot2 (>= 3.0.0), graphics, grid, methods, purrr, scales,
stringr, tibble",NA,"dplyr, covr, extrafont, glue, knitr, lintr, maps, mapproj,
pander, rlang, rmarkdown, spelling, testthat, tidyr, vdiffr,
withr",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
"gh","gh","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0.1",NA,NA,"ini, jsonlite, httr",NA,"covr, pingr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"git2r","git2r","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.23.0",NA,"R (>= 3.1)","graphics, utils",NA,"getPass",NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.0"
"glmnet","glmnet","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.0-16",NA,"Matrix (>= 1.0-6), utils, foreach","methods",NA,"survival, knitr, lars",NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.0"
"glmnetUtils","glmnetUtils","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.1",NA,NA,"stats, graphics, grDevices, glmnet, parallel, Matrix",NA,"knitr, rmarkdown, MASS, doParallel, testthat",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
"glue","glue","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.3.0",NA,"R (>= 3.1)","methods",NA,"testthat, covr, magrittr, crayon, knitr, rmarkdown, DBI,
RSQLite, R.utils, forcats, microbenchmark, rprintf, stringr,
ggplot2, dplyr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"gmailr","gmailr","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.7.1",NA,"R (>= 3.0.0)","httr, base64enc, magrittr, jsonlite, mime, crayon",NA,"testthat, knitr, methods, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"gmm","gmm","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.6-2",NA,"R (>= 2.10.0), sandwich","stats, methods, grDevices, graphics",NA,"mvtnorm, car, stabledist, MASS, timeDate, timeSeries",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"gmodels","gmodels","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.18.1",NA,"R (>= 1.9.0)","MASS, gdata",NA,"gplots, gtools, Matrix, nlme, lme4 (>= 0.999999-0)",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
"gmp","gmp","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.5-13.2",NA,"R (>= 3.0.0)","methods",NA,"Rmpfr",NA,"GPL",NA,NA,NA,NA,"yes","3.5.0"
"gof","gof","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.9.1",NA,"R (>= 2.15)",NA,NA,"numDeriv, survival, lava (>= 1.2.5)",NA,"GPL",NA,NA,NA,NA,"yes","3.5.0"
"goftest","goftest","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.1-1",NA,"R (>= 3.3)","stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"gower","gower","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.1.2",NA,NA,NA,NA,"testthat, knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"yes","3.5.0"
"GPArotation","GPArotation","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2014.11-1",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"gplots","gplots","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","3.0.1",NA,"R (>= 3.0)","gtools, gdata, stats, caTools, KernSmooth",NA,"grid, MASS",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
"graphics","graphics","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","3.5.1","base",NA,"grDevices",NA,NA,NA,"Part of R 3.5.1",NA,NA,NA,NA,"yes","3.5.1"
"grDevices","grDevices","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","3.5.1","base",NA,NA,NA,"KernSmooth",NA,"Part of R 3.5.1",NA,NA,NA,NA,"yes","3.5.1"
"grid","grid","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","3.5.1","base",NA,"grDevices, utils",NA,"lattice",NA,"Part of R 3.5.1",NA,NA,NA,NA,"yes","3.5.1"
"gridExtra","gridExtra","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.3",NA,NA,"gtable, grid, grDevices, graphics, utils",NA,"ggplot2, egg, lattice, knitr, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"gridGraphics","gridGraphics","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.3-0",NA,"grid, graphics","grDevices",NA,"magick (>= 1.3), pdftools (>= 1.6)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"gss","gss","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.1-9",NA,"R (>= 2.14.0), stats",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"gstat","gstat","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.1-6",NA,"R (>= 2.10)","utils, stats, graphics, methods, lattice, sp (>= 0.9-72), zoo,
spacetime (>= 1.0-0), FNN",NA,"rgdal (>= 0.5.2), rgeos, fields, maps, mapdata, maptools, xts",NA,"GPL (>= 2.0)",NA,NA,NA,NA,"yes","3.5.0"
"gtable","gtable","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.2.0",NA,"R (>= 2.14)","grid",NA,"testthat, covr",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
"gtools","gtools","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","3.8.1",NA,"methods, stats, utils",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.0"
"gutenbergr","gutenbergr","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.1.4",NA,"R (>= 2.10)","dplyr, readr, purrr, urltools, stringr, lazyeval",NA,"knitr, rmarkdown, testthat, tidytext, ggplot2, tidyr, curl",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
"haven","haven","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.1.2",NA,"R (>= 3.1)","forcats (>= 0.2.0), hms, Rcpp (>= 0.11.4), readr (>= 0.1.0),
tibble","Rcpp","covr, fs, knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"hexbin","hexbin","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.27.2",NA,"R (>= 2.0.1), methods","lattice, grid, graphics, grDevices, stats, utils",NA,"marray, affy, Biobase, limma",NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.0"
"highcharter","highcharter","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.7.0",NA,"R (>= 2.10)","htmlwidgets, magrittr, purrr, rlist, assertthat, zoo, dplyr
(>= 0.7.0), tibble (>= 1.1), stringr, broom, xts, quantmod,
tidyr, htmltools, jsonlite, igraph, lubridate, crosstalk, yaml,
rlang(>= 0.1.1), whisker",NA,"knitr, rmarkdown, survival, ggplot2, httr, viridisLite,
shiny, MASS, gapminder",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.2"
"highlight","highlight","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.4.7.2",NA,"R (>= 3.1.3)","grDevices, tools",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.5.0"
"highr","highr","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.7",NA,"R (>= 3.0.2)",NA,NA,"knitr, testit",NA,"GPL",NA,NA,NA,NA,"no","3.5.0"
"Hmisc","Hmisc","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","4.1-1",NA,"lattice, survival (>= 2.40-1), Formula, ggplot2 (>= 2.2)","methods, latticeExtra, cluster, rpart, nnet, acepack, foreign,
gtable, grid, gridExtra, data.table, htmlTable (>= 1.11.0),
viridis, htmltools, base64enc",NA,"chron, rms, mice, tables, knitr, ff, ffbase, plotly (>=
4.5.6)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"hms","hms","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.4.2",NA,NA,"methods, pkgconfig, rlang",NA,"crayon, lubridate, pillar (>= 1.1.0), testthat",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.0"
"hrbrthemes","hrbrthemes","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.5.0",NA,"R (>= 3.2.0)","ggplot2 (>= 2.2.1), grDevices, grid, scales, extrafont, knitr,
rmarkdown, htmltools, tools, magrittr",NA,"testthat, dplyr, gridExtra, hunspell, stringi, gcookbook,
clipr, vdiffr, svglite",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"HSAUR2","HSAUR2","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.1-17",NA,"R (>= 2.2.0), tools",NA,NA,"lattice, MASS, scatterplot3d (>= 0.3-23), alr3, ape (>= 1.6),
coin (>= 1.1-3), flexmix (>= 1.1-0), gee (>= 4.13-10), lme4 (>=
0.98-1), mclust (>= 3.0-0), party (>= 0.2-8), randomForest (>=
4.5-12), rmeta (>= 2.12), vcd (>= 0.9-3), survival, rpart,
gamair, multcomp (>= 1.0-3), sandwich, mboost, KernSmooth,
Matrix, boot, mgcv, mvtnorm, partykit, wordcloud, TH.data",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
"HSAUR3","HSAUR3","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0-9",NA,"R (>= 3.0.0), tools",NA,NA,"boot (>= 1.3-9), lattice (>= 0.20-23), MASS (>= 7.3-29), mgcv
(>= 1.7-27), rpart (>= 4.1-4), survival (>= 2.37-4), alr3 (>=
2.0.5), ape (>= 3.0-11), coin (>= 1.1-3), flexmix (>= 2.3-11),
Formula (>= 1.1-1), gamair (>= 0.0.8), gamlss.data (>= 4.2.6),
gee (>= 4.13-18), KernSmooth (>= 2.23-10), lme4 (>= 1.0-5),
maps (>= 2.3-6), maptools (>= 0.8-27), mboost (>= 2.2-3),
mclust (>= 4.2), mlbench (>= 2.1-1), mice (>= 2.18), multcomp
(>= 1.3-1), mvtnorm (>= 0.9-9996), partykit (>= 0.8-0),
quantreg (>= 5.05), randomForest (>= 4.6-7), rmeta (>= 2.16),
sandwich (>= 2.3-0), scatterplot3d (>= 0.3-34), sp (>= 1.0-14),
TH.data (>= 1.0-2), vcd (>= 1.3-1), wordcloud (>= 2.4)",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
"htmlTable","htmlTable","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.12",NA,NA,"stringr, knitr (>= 1.6), magrittr (>= 1.5), methods,
checkmate, htmlwidgets, htmltools, rstudioapi (>= 0.6)",NA,"testthat, XML, xtable, ztable, Hmisc, reshape, rmarkdown,
pander, chron, lubridate, tibble, tidyr (>= 0.7.2), dplyr (>=
0.7.4)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.5.0"
"htmltools","htmltools","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.3.6",NA,"R (>= 2.14.1)","utils, digest, Rcpp","Rcpp","markdown, testthat","knitr","GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"htmlwidgets","htmlwidgets","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.3",NA,NA,"grDevices, htmltools (>= 0.3), jsonlite (>= 0.9.16), yaml",NA,"knitr (>= 1.8)","shiny (>= 1.1)","MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"httpuv","httpuv","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.4.5",NA,"R (>= 2.15.1), methods","Rcpp (>= 0.11.0), utils, promises, later (>= 0.7.3)","Rcpp, BH, later","testthat, callr",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"httr","httr","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.4.0",NA,"R (>= 3.1)","curl (>= 0.9.1), jsonlite, mime, openssl (>= 0.8), R6",NA,"covr, httpuv, jpeg, knitr, png, readr, rmarkdown, testthat
(>= 0.8.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"hunspell","hunspell","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.9",NA,"R (>= 3.0.2)","Rcpp, digest","Rcpp (>= 0.12.12)","spelling, testthat, pdftools, janeaustenr, wordcloud2, knitr,
rmarkdown",NA,"GPL-2 | LGPL-2.1 | MPL-1.1",NA,NA,NA,NA,"yes","3.5.0"
"huxtable","huxtable","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","4.0.1",NA,NA,"assertthat, dplyr, glue, htmltools, knitr, rmarkdown, stringr,
tibble, tidyselect, utils",NA,"broom, covr, crayon, devtools, flextable, ggplot2, lazyeval,
lme4, lmtest, nlme, nnet, officer, openxlsx, psych, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"ibdreg","ibdreg","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.2.5",NA,"R (>= 2.15.0)",NA,NA,NA,NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"IC2","IC2","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0-1",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"3.5.0"
"igraph","igraph","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.2.2",NA,"methods","graphics, grDevices, magrittr, Matrix, pkgconfig (>= 2.0.0),
stats, utils",NA,"ape, digest, graph, igraphdata, rgl, scales, stats4, tcltk,
testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"igraphdata","igraphdata","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0.1",NA,"R (>= 2.10)",NA,NA,"igraph (>= 1.0.0)",NA,"CC BY-SA 4.0 + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"imager","imager","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.41.2",NA,"R (>= 2.10.0),magrittr","Rcpp (>=
0.11.5),methods,stringr,png,jpeg,readbitmap,grDevices,purrr,Cairo,downloader,igraph,plyr","Rcpp","knitr, rmarkdown,ggplot2,dplyr,scales,
testthat,OpenMPController,raster,spatstat",NA,"LGPL",NA,NA,NA,NA,"yes","3.5.2"
"import","import","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.1.0",NA,NA,NA,NA,"knitr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"ineq","ineq","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.2-13",NA,"R (>= 2.10.0)","stats, graphics, grDevices",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","3.5.0"
"influenceR","influenceR","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.1.0",NA,"R (>= 3.2.0)","igraph (>= 1.0.1), Matrix (>= 1.1-4), methods, utils",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.0"
"ini","ini","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.3.1",NA,NA,NA,NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.0"
"inline","inline","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.3.15",NA,"R (>= 2.4.0)","methods",NA,"Rcpp (>= 0.11.0)",NA,"LGPL",NA,NA,NA,NA,"no","3.5.0"
"intergraph","intergraph","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.0-2",NA,NA,"network (>= 1.4-1-1), igraph (>= 0.6-0), utils",NA,"testthat, roxygen2, knitr",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.0"
"intervals","intervals","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.15.1",NA,"R (>= 2.9.0)","utils, graphics, methods",NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"yes","3.5.0"
"inum","inum","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0-0",NA,"R (>= 3.3.0)","stats, libcoin (>= 1.0-0)",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
"ipred","ipred","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.9-6",NA,"R (>= 2.10)","rpart (>= 3.1-8), MASS, survival, nnet, class, prodlim",NA,"mvtnorm, mlbench, TH.data",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"IRdisplay","IRdisplay","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.5.0",NA,"R (>= 3.0.1)","methods, repr",NA,"testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"irlba","irlba","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.3.2",NA,"Matrix","stats, methods","Matrix","PMA",NA,"GPL-3",NA,NA,NA,NA,"yes","3.5.0"
